Time	CAG	GRAV	RES
57119.67177	-223.12108	0.24245	-5.50727
57119.67372	-218.46724	0.22636	-15.30119
57119.67575	-198.85398	0.20908	-11.20914
57119.67785	-197.89726	0.19121	-26.31031
57119.67983	-161.37803	0.17492	-4.41784
57119.68178	-156.74866	0.15833	-14.69499
57119.68383	-150.75255	0.14132	-23.97772
57119.68594	-121.33518	0.12299	-11.02132
57119.6879	-111.09665	0.10573	-16.29012
57119.68986	-76.5805	0.08976	3.8777
57119.69189	-74.73807	0.07165	-10.54569
57119.69397	-50.10852	0.05395	-1.8161
57119.69593	-60.23539	0.0371	-27.07534
57119.69789	-36.47668	0.01998	-18.69375
57119.69992	-30.46658	0.00269	-28.21372
57119.70201	-7.15184	-0.01595	-21.64058
57119.70396	22.85145	-0.03199	-6.0466
57119.70591	16.34896	-0.04926	-28.06752
57119.70795	36.86973	-0.06696	-23.44485
57119.71004	64.9026	-0.08477	-11.41014
57119.712	67.31209	-0.10139	-23.92612
57119.71396	85.76818	-0.11866	-20.98281
57119.71601	83.70002	-0.13615	-38.76278
57119.71816	124.31662	-0.15471	-14.81514
57119.72018	140.98719	-0.1713	-13.04367
57119.72214	164.47838	-0.18791	-4.48094
57119.72417	180.78563	-0.20519	-3.6908
57119.72626	177.0888	-0.22273	-23.14334
57119.72823	207.44997	-0.23834	-6.80493
57119.73019	232.63001	-0.25474	3.64703
57119.73223	242.89443	-0.27223	-1.80393
57119.73433	243.7216	-0.28812	-15.24874
57119.73631	247.92634	-0.30396	-25.27284
57119.73828	259.82005	-0.32018	-27.94377
57119.74034	291.44322	-0.33634	-10.83998
57119.74245	301.00158	-0.35288	-16.13902
57119.74442	328.1926	-0.36803	-2.55412
57119.74639	335.29221	-0.38374	-9.56764
57119.74843	334.88927	-0.39822	-22.97559
57119.75052	345.15831	-0.41448	-27.30936
57119.75248	382.04243	-0.42866	-3.16431
57119.75444	404.77763	-0.44362	6.13352
57119.75648	393.44678	-0.45797	-18.09222
57119.75857	419.68204	-0.47325	-5.58006
57119.76052	420.02685	-0.48701	-17.59853
57119.76249	438.89287	-0.50004	-10.43201
57119.76453	450.79371	-0.51442	-11.44775
57119.76662	464.26268	-0.52874	-10.8453
57119.76858	466.0576	-0.54147	-20.48697
57119.77053	495.74321	-0.55376	-1.83351
57119.77258	491.34111	-0.56654	-17.72085
57119.77468	531.22811	-0.58036	9.75029
57119.77664	520.2831	-0.5916	-11.28534
57119.77859	515.98689	-0.60266	-25.51468
57119.78065	558.31024	-0.61517	5.56921
57119.78275	547.80794	-0.62742	-15.94082
57119.78471	551.67586	-0.63824	-21.78544
57119.78666	573.44402	-0.64819	-8.95576
57119.7887	577.45048	-0.65928	-14.91119
57119.79079	589.07451	-0.6697	-12.64802
