frequency (MHz)  ; fluoresence (counts/s)
12.5238805 ; 84.0000000 
11.8129048 ; 92.0000000 
11.5642061 ; 80.0000000 
11.3494821 ; 106.0000000 
11.1625991 ; 87.0000000 
10.9458880 ; 97.0000000 
10.7341719 ; 82.0000000 
10.5307899 ; 90.0000000 
10.3351507 ; 101.0000000 
10.1404738 ; 98.0000000 
9.9384236 ; 96.0000000 
9.7335258 ; 94.0000000 
9.5194964 ; 92.0000000 
9.3293958 ; 111.0000000 
9.1405272 ; 103.0000000 
8.9303951 ; 98.0000000 
8.7446513 ; 114.0000000 
8.5264568 ; 117.0000000 
8.3244824 ; 101.0000000 
8.1280289 ; 93.0000000 
7.9250622 ; 102.0000000 
7.7270136 ; 135.0000000 
7.5121789 ; 97.0000000 
7.3203998 ; 111.0000000 
7.1171684 ; 93.0000000 
6.9117017 ; 113.0000000 
6.7349005 ; 125.0000000 
6.5115137 ; 116.0000000 
6.3190641 ; 152.0000000 
6.1247821 ; 102.0000000 
5.9100256 ; 134.0000000 
5.7094707 ; 129.0000000 
5.5234828 ; 104.0000000 
5.3117185 ; 151.0000000 
5.1062622 ; 148.0000000 
4.9070311 ; 160.0000000 
4.7048926 ; 144.0000000 
4.4824319 ; 183.0000000 
4.2970319 ; 160.0000000 
4.0978513 ; 169.0000000 
3.9075189 ; 173.0000000 
3.7072015 ; 171.0000000 
3.4937496 ; 152.0000000 
3.3097029 ; 176.0000000 
3.0986366 ; 161.0000000 
2.8935356 ; 158.0000000 
2.7178516 ; 191.0000000 
2.4970746 ; 184.0000000 
2.2888288 ; 195.0000000 
2.0938654 ; 198.0000000 
1.8938556 ; 178.0000000 
1.6953378 ; 246.0000000 
1.4829006 ; 207.0000000 
1.2876520 ; 221.0000000 
1.0697775 ; 243.0000000 
0.8927622 ; 243.0000000 
0.6909871 ; 303.0000000 
0.4916587 ; 362.0000000 
0.2729335 ; 386.0000000 
0.0774765 ; 530.0000000 
-0.0987048 ; 502.0000000 
-0.3065081 ; 471.0000000 
-0.5090852 ; 377.0000000 
-0.6993847 ; 304.0000000 
-0.9150581 ; 287.0000000 
-1.1280398 ; 255.0000000 
-1.3280435 ; 244.0000000 
-1.5430059 ; 208.0000000 
-1.7250276 ; 233.0000000 
-1.9247437 ; 215.0000000 
-2.1479254 ; 211.0000000 
-2.3115711 ; 205.0000000 
-2.5166769 ; 183.0000000 
-2.7380738 ; 159.0000000 
-2.9348617 ; 146.0000000 
-3.1402392 ; 180.0000000 
-3.3308654 ; 151.0000000 
-3.5303612 ; 162.0000000 
-3.7375312 ; 175.0000000 
-3.9311666 ; 168.0000000 
-4.1396141 ; 147.0000000 
-4.3543954 ; 126.0000000 
-4.5363374 ; 156.0000000 
-4.7460480 ; 133.0000000 
-4.9585524 ; 137.0000000 
-5.1365843 ; 143.0000000 
-5.3413882 ; 147.0000000 
-5.5547185 ; 139.0000000 
-5.7550335 ; 145.0000000 
-5.9588175 ; 118.0000000 
-6.1607475 ; 147.0000000 
-6.3662243 ; 143.0000000 
-6.5586390 ; 144.0000000 
-6.7598963 ; 140.0000000 
-6.9565253 ; 113.0000000 
-7.1555824 ; 107.0000000 
-7.3645067 ; 126.0000000 
-7.5507712 ; 103.0000000 
-7.7605243 ; 136.0000000 
-7.9793272 ; 119.0000000 
-8.1691599 ; 114.0000000 
-8.3548317 ; 100.0000000 
-8.5723858 ; 97.0000000 
-8.7763424 ; 116.0000000 
-8.9722323 ; 117.0000000 
-9.1738896 ; 108.0000000 
-9.3553028 ; 105.0000000 
-9.5609598 ; 115.0000000 
-9.7780695 ; 123.0000000 
-9.9864492 ; 105.0000000 
-10.1642718 ; 101.0000000 
-10.3754625 ; 110.0000000 
-10.5671716 ; 90.0000000 
-10.8048253 ; 90.0000000 
-10.9675269 ; 90.0000000 
-11.1808820 ; 111.0000000 
-11.3822937 ; 93.0000000 
-11.5868716 ; 83.0000000 
-11.7922449 ; 78.0000000 
-11.9804425 ; 96.0000000 
-11.9971824 ; 87.0000000 
-11.7789536 ; 80.0000000 
-11.6091075 ; 94.0000000 
-11.3902931 ; 93.0000000 
-11.1881886 ; 82.0000000 
-10.9910712 ; 92.0000000 
-10.7754812 ; 94.0000000 
-10.5897875 ; 99.0000000 
-10.3724623 ; 87.0000000 
-10.1754794 ; 106.0000000 
-9.9849043 ; 92.0000000 
-9.7831945 ; 106.0000000 
-9.5740452 ; 98.0000000 
-9.3856707 ; 108.0000000 
-9.1868224 ; 99.0000000 
-8.9943261 ; 110.0000000 
-8.7960877 ; 108.0000000 
-8.5636387 ; 102.0000000 
-8.3741398 ; 124.0000000 
-8.1749101 ; 102.0000000 
-7.9819894 ; 123.0000000 
-7.7825456 ; 107.0000000 
-7.5858951 ; 118.0000000 
-7.3722215 ; 115.0000000 
-7.1669950 ; 134.0000000 
-6.9733572 ; 117.0000000 
-6.7630153 ; 141.0000000 
-6.5779152 ; 136.0000000 
-6.3725705 ; 111.0000000 
-6.1702514 ; 139.0000000 
-5.9519572 ; 120.0000000 
-5.7680097 ; 144.0000000 
-5.5727148 ; 143.0000000 
-5.3540077 ; 144.0000000 
-5.1789188 ; 128.0000000 
-4.9717684 ; 172.0000000 
-4.7469440 ; 156.0000000 
-4.5501404 ; 180.0000000 
-4.3526368 ; 160.0000000 
-4.1539702 ; 185.0000000 
-3.9438219 ; 158.0000000 
-3.7385774 ; 173.0000000 
-3.5451899 ; 166.0000000 
-3.3465104 ; 169.0000000 
-3.1548672 ; 145.0000000 
-2.9439702 ; 162.0000000 
-2.7516985 ; 187.0000000 
-2.5567575 ; 194.0000000 
-2.3451085 ; 160.0000000 
-2.1400013 ; 178.0000000 
-1.9418635 ; 199.0000000 
-1.7403393 ; 218.0000000 
-1.5333133 ; 163.0000000 
-1.3420415 ; 234.0000000 
-1.1443729 ; 234.0000000 
-0.9193425 ; 267.0000000 
-0.7321024 ; 325.0000000 
-0.5087872 ; 377.0000000 
-0.3222985 ; 430.0000000 
-0.1330276 ; 447.0000000 
0.0768757 ; 462.0000000 
0.2662315 ; 417.0000000 
0.4876838 ; 353.0000000 
0.6844573 ; 285.0000000 
0.8703356 ; 285.0000000 
1.0717769 ; 255.0000000 
1.2847748 ; 215.0000000 
1.4703665 ; 207.0000000 
1.6696553 ; 195.0000000 
1.8802195 ; 230.0000000 
2.0927825 ; 192.0000000 
2.2815347 ; 178.0000000 
2.4911327 ; 194.0000000 
2.6828122 ; 165.0000000 
2.8798432 ; 170.0000000 
3.0933108 ; 170.0000000 
3.2882080 ; 163.0000000 
3.4965882 ; 147.0000000 
3.6959858 ; 166.0000000 
3.8923306 ; 147.0000000 
4.0911345 ; 146.0000000 
4.2886615 ; 136.0000000 
4.4834323 ; 142.0000000 
4.6968980 ; 158.0000000 
4.8841438 ; 141.0000000 
5.0986609 ; 138.0000000 
5.2940497 ; 149.0000000 
5.4850636 ; 149.0000000 
5.6858287 ; 116.0000000 
5.8991261 ; 136.0000000 
6.0928907 ; 134.0000000 
6.2959595 ; 119.0000000 
6.5032167 ; 130.0000000 
6.7091861 ; 119.0000000 
6.9124832 ; 117.0000000 
7.1090951 ; 116.0000000 
7.3288174 ; 112.0000000 
7.4994054 ; 126.0000000 
7.7198849 ; 120.0000000 
7.8901291 ; 106.0000000 
8.1234722 ; 117.0000000 
8.3160586 ; 99.0000000 
8.5091658 ; 116.0000000 
8.6985817 ; 105.0000000 
8.9097242 ; 133.0000000 
9.1113911 ; 112.0000000 
9.3026876 ; 114.0000000 
9.5140195 ; 101.0000000 
9.7314181 ; 91.0000000 
9.9098425 ; 87.0000000 
10.1217794 ; 83.0000000 
10.3410134 ; 112.0000000 
10.5273123 ; 97.0000000 
10.7475095 ; 81.0000000 
10.9323587 ; 85.0000000 
11.1204810 ; 108.0000000 
11.3216567 ; 80.0000000 
11.5281224 ; 87.0000000 
11.7288947 ; 85.0000000 
11.9335685 ; 84.0000000 
11.9242296 ; 98.0000000 
11.7389874 ; 105.0000000 
11.5474195 ; 79.0000000 
11.3347063 ; 100.0000000 
11.1380339 ; 106.0000000 
10.9281116 ; 86.0000000 
10.7385125 ; 96.0000000 
10.5232162 ; 95.0000000 
10.3353314 ; 95.0000000 
10.1323624 ; 96.0000000 
9.9405727 ; 92.0000000 
9.7321024 ; 97.0000000 
9.5307751 ; 111.0000000 
9.3275743 ; 98.0000000 
9.1358848 ; 117.0000000 
8.9366112 ; 98.0000000 
8.7143645 ; 95.0000000 
8.5211506 ; 86.0000000 
8.3140125 ; 108.0000000 
8.1211510 ; 102.0000000 
7.9241819 ; 124.0000000 
7.7157927 ; 115.0000000 
7.5364494 ; 100.0000000 
7.3178458 ; 121.0000000 
7.1188660 ; 116.0000000 
6.9159470 ; 124.0000000 
6.7173924 ; 120.0000000 
6.5091376 ; 116.0000000 
6.3195815 ; 122.0000000 
6.1097107 ; 137.0000000 
5.9158583 ; 137.0000000 
5.7131553 ; 133.0000000 
5.5101786 ; 123.0000000 
5.3117933 ; 155.0000000 
5.1042638 ; 155.0000000 
4.9099398 ; 133.0000000 
4.7035294 ; 166.0000000 
4.5010500 ; 167.0000000 
4.2823987 ; 164.0000000 
4.1062813 ; 143.0000000 
3.8823009 ; 157.0000000 
3.6953025 ; 170.0000000 
3.4947329 ; 170.0000000 
3.2817807 ; 146.0000000 
3.1105175 ; 180.0000000 
2.8996010 ; 147.0000000 
2.6794481 ; 193.0000000 
2.4854445 ; 175.0000000 
2.2924070 ; 189.0000000 
2.0750008 ; 173.0000000 
1.8804607 ; 204.0000000 
1.6807351 ; 215.0000000 
1.4863448 ; 245.0000000 
1.2756929 ; 260.0000000 
1.0755658 ; 268.0000000 
0.8835149 ; 262.0000000 
0.6725497 ; 329.0000000 
0.4878435 ; 344.0000000 
0.2743225 ; 413.0000000 
0.0792623 ; 515.0000000 
-0.1114206 ; 529.0000000 
-0.3341541 ; 464.0000000 
-0.5420222 ; 370.0000000 
-0.7307205 ; 304.0000000 
-0.9193664 ; 302.0000000 
-1.1306806 ; 221.0000000 
-1.3205175 ; 266.0000000 
-1.5340905 ; 230.0000000 
-1.7327724 ; 180.0000000 
-1.9421291 ; 208.0000000 
-2.1387410 ; 195.0000000 
-2.3487124 ; 196.0000000 
-2.5408831 ; 192.0000000 
-2.7488766 ; 179.0000000 
-2.9662895 ; 183.0000000 
-3.1463985 ; 199.0000000 
-3.3491573 ; 175.0000000 
-3.5569634 ; 152.0000000 
-3.7374578 ; 135.0000000 
-3.9515343 ; 149.0000000 
-4.1451468 ; 176.0000000 
-4.3609028 ; 155.0000000 
-4.5578299 ; 147.0000000 
-4.7483873 ; 136.0000000 
-4.9522696 ; 165.0000000 
-5.1572485 ; 141.0000000 
-5.3481407 ; 131.0000000 
-5.5678563 ; 134.0000000 
-5.7702713 ; 119.0000000 
-5.9798384 ; 127.0000000 
-6.1580067 ; 109.0000000 
-6.3932352 ; 125.0000000 
-6.5508146 ; 115.0000000 
-6.7774768 ; 123.0000000 
-6.9655867 ; 119.0000000 
-7.1539850 ; 114.0000000 
-7.3577805 ; 111.0000000 
-7.5521197 ; 120.0000000 
-7.7754784 ; 88.0000000 
-7.9772410 ; 91.0000000 
-8.1792068 ; 119.0000000 
-8.3681045 ; 115.0000000 
-8.5758967 ; 128.0000000 
-8.7787251 ; 115.0000000 
-8.9786224 ; 111.0000000 
-9.1743808 ; 100.0000000 
-9.3902893 ; 95.0000000 
-9.5818877 ; 103.0000000 
-9.7946997 ; 115.0000000 
-9.9745102 ; 98.0000000 
-10.1971917 ; 91.0000000 
-10.3909106 ; 91.0000000 
-10.5711575 ; 89.0000000 
-10.7941093 ; 91.0000000 
-11.0018177 ; 84.0000000 
-11.1679530 ; 99.0000000 
-11.3763871 ; 87.0000000 
-11.5789227 ; 111.0000000 
-11.7668381 ; 104.0000000 
-12.0011892 ; 93.0000000 
-11.9907513 ; 98.0000000 
-11.8040333 ; 92.0000000 
-11.6260176 ; 82.0000000 
-11.3915830 ; 95.0000000 
-11.2019982 ; 76.0000000 
-11.0007563 ; 95.0000000 
-10.7925320 ; 112.0000000 
-10.6104050 ; 83.0000000 
-10.3857212 ; 104.0000000 
-10.1992173 ; 98.0000000 
-9.9986844 ; 100.0000000 
-9.7893009 ; 84.0000000 
-9.5865498 ; 127.0000000 
-9.3747883 ; 101.0000000 
-9.2002354 ; 78.0000000 
-8.9845371 ; 110.0000000 
-8.7808080 ; 90.0000000 
-8.6028814 ; 99.0000000 
-8.3821940 ; 119.0000000 
-8.1972370 ; 115.0000000 
-7.9962268 ; 131.0000000 
-7.7734942 ; 115.0000000 
-7.5987549 ; 119.0000000 
-7.3765473 ; 104.0000000 
-7.1809459 ; 118.0000000 
-6.9753952 ; 119.0000000 
-6.7643681 ; 119.0000000 
-6.5832562 ; 114.0000000 
-6.3983893 ; 120.0000000 
-6.1811461 ; 134.0000000 
-5.9687862 ; 137.0000000 
-5.7698307 ; 131.0000000 
-5.5877519 ; 140.0000000 
-5.3683934 ; 94.0000000 
-5.1725154 ; 118.0000000 
-4.9638891 ; 119.0000000 
-4.7573943 ; 158.0000000 
-4.5740614 ; 160.0000000 
-4.3743081 ; 144.0000000 
-4.1405125 ; 155.0000000 
-3.9707484 ; 146.0000000 
-3.7469192 ; 179.0000000 
-3.5646019 ; 162.0000000 
-3.3571525 ; 149.0000000 
-3.1569452 ; 161.0000000 
-2.9515615 ; 145.0000000 
-2.7530608 ; 185.0000000 
-2.5405078 ; 208.0000000 
-2.3591628 ; 210.0000000 
-2.1527472 ; 198.0000000 
-1.9530482 ; 210.0000000 
-1.7296171 ; 221.0000000 
-1.5493860 ; 237.0000000 
-1.3424854 ; 242.0000000 
-1.1525474 ; 255.0000000 
-0.9295635 ; 283.0000000 
-0.7408834 ; 326.0000000 
-0.5354247 ; 393.0000000 
-0.3435760 ; 446.0000000 
-0.1371975 ; 537.0000000 
0.0582466 ; 518.0000000 
0.2735691 ; 431.0000000 
0.4602923 ; 410.0000000 
0.6785874 ; 296.0000000 
0.8673778 ; 286.0000000 
1.0590549 ; 236.0000000 
1.2628760 ; 216.0000000 
1.4753571 ; 232.0000000 
1.6812091 ; 242.0000000 
1.8646479 ; 172.0000000 
2.0884604 ; 188.0000000 
2.2907577 ; 197.0000000 
2.4821525 ; 189.0000000 
2.6673341 ; 174.0000000 
2.8655405 ; 196.0000000 
3.0833178 ; 179.0000000 
3.2854881 ; 179.0000000 
3.4781876 ; 196.0000000 
3.6972871 ; 196.0000000 
